Folder Name,Source
Austin,City
Bexar,TNRIS
Bowie,TNRIS
Brazos,County tax appraisal office
Cameron,TNRIS
Collin,TNRIS
Dallas,County tax appraisal office
Danton,County tax appraisal office
Ector,TNRIS
El,Unknown
Fort,Unknown
Galveston,County tax appraisal office
Harris,TNRIS
Hidalgo,TNRIS
Lubbock,TNRIS
McLennan,County tax appraisal office
Midland,County tax appraisal office
Nueces,TNRIS
Tarrant,TNRIS
Washington,County tax appraisal office
Webb,TNRIS
Wichita,TNRIS
Williamson,County tax appraisal office
